,stim,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability,Unnamed: 48,subject,block,hits,misses,false_alarms,correct_rejections,FAR,HR,distinctiveness_early,distinctiveness_mid,distinctiveness_late,bias,memorability
0,beaches_00490_LD.png,1400,1.333,18.606,0.2232,11.85,87.269,0.0,245.843,245.843,245.843,96.409,-0.002367,0.004486,0.0,0.0,0.9641,47.446,47.446,47.446,18.606,0.0004568,0.0008658,-0.0,0.0,0.1861,0.1487,25.641,-0.035,-0.1233,11.622,0.5365,0.3838,0.3637,-1.113,-0.4734,-0.463,0.004642,1.457,2.466,0.557,0.828,0.00116,94.63,3.962,4.407,0.0005496,3.159e-05,,5545700,967,16,57,32,122,-0.814105674155782,-0.7749720688072608,0.028809714658180073,0.2853376126567871,0.49894797752088016,-0.3749617008412427,-0.615265028754063
1,offices_00473_LD.png,1400,1.333,22.175,0.2943,16.261,111.776,0.0,241.775,241.775,241.775,94.814,-0.002328,0.004412,0.0,0.0,0.9481,56.546,56.546,56.546,22.175,0.0005444,0.001032,-0.0,0.0,0.2217,0.3452,18.693,-0.06,0.07167,21.082,0.4814,0.4555,0.4452,-1.103,-0.4544,-0.4462,0.007127,1.497,2.627,0.6181,0.8567,0.001105,96.848,4.079,4.43,0.0004072,2.856e-05,,5360023,900,38,33,47,99,-0.46234265363460514,0.08837646690321847,0.018828782413095355,0.18646662116972762,0.43811895979286414,0.41007895095144964,-0.11245383978496748
2,highways_00220_LD.png,1400,1.333,18.239,0.2163,10.944,81.051,0.0,246.214,246.214,246.214,96.555,-0.00237,0.004493,0.0,0.0,0.9655,46.51,46.51,46.51,18.239,0.0004478,0.0008487,-0.0,0.0,0.1824,0.2193,9.545,-0.01,-0.04667,15.944,0.4817,0.4098,0.3935,-1.129,-0.4583,-0.4279,0.003658,1.471,2.574,0.5531,0.8519,0.001205,92.246,3.971,4.378,0.0006564,2.813e-05,,5650045,982,36,43,24,126,-0.9944578832097531,-0.11128240809028023,0.02104452680329239,0.19550302110679235,0.4477622559891483,-0.13984402404330631,0.031055760877842065
3,city_20081106_00008_LD.png,1400,1.333,20.223,0.2546,13.385,86.764,0.0,244.106,244.106,244.106,95.728,-0.00235,0.004455,0.0,0.0,0.9573,51.569,51.569,51.569,20.223,0.0004965,0.0009411,-0.0,0.0,0.2022,0.3749,6.807,-0.02625,-0.02167,19.376,0.4959,0.4075,0.4258,-1.057,-0.4605,-0.4144,0.00531,1.542,2.687,0.5529,0.8284,0.001187,93.701,4.093,4.431,0.000758,3.368e-05,,4904276,903,32,32,40,96,-0.5413950851290877,0.0,0.015440792501271504,0.14008056137120273,0.40453658214424,0.2945419326448352,-0.13911625205960182
4,forests_00355_LD.png,1400,1.333,21.355,0.2774,14.892,116.244,0.0,242.787,242.787,242.787,95.21,-0.002337,0.004431,0.0,0.0,0.9521,54.454,54.454,54.454,21.355,0.0005242,0.0009937,-0.0,0.0,0.2135,0.3062,19.585,0.02375,-0.095,9.206,0.5612,0.5375,0.5163,-1.045,-0.4592,-0.3938,0.01014,1.499,2.561,0.6804,0.8704,0.001079,98.263,3.569,4.178,0.0002753,1.13e-05,,5433145,920,32,43,37,108,-0.6583008567368558,-0.1848670276194425,0.01840752108569552,0.18547237197587652,0.48340301839867933,0.09246008595335808,-0.22281633911939955
5,city_00336_LD.png,1400,1.333,18.333,0.218,10.977,79.416,0.0,246.12,246.12,246.12,96.518,-0.002369,0.004491,0.0,0.0,0.9652,46.749,46.749,46.749,18.333,0.0004501,0.0008531,-0.0,0.0,0.1833,0.2163,11.374,0.0325,0.04667,20.466,0.5228,0.4306,0.3894,-1.182,-0.4778,-0.4523,0.005139,1.456,2.557,0.6135,0.8411,0.001178,93.029,4.055,4.45,0.000658,2.982e-05,,5123121,950,30,42,23,115,-0.9674215661017012,-0.2104283942479247,0.01914354080267422,0.20520212653479397,0.45995530123144057,-0.17489033799974407,-0.06554985434200822
6,mountains_20081106_00036_LD.png,1400,1.333,11.325,0.1,4.812,39.166,0.0,251.687,251.687,251.687,98.701,-0.002423,0.004593,0.0,0.0,0.987,28.878,28.878,28.878,11.325,0.000278,0.000527,-0.0,0.0,0.1132,0.02781,25.687,-0.02125,-0.1267,14.009,0.4777,0.27,0.2641,-1.191,-0.4737,-0.489,0.004492,1.259,2.287,0.5331,0.742,0.001203,91.126,4.309,4.458,0.0009658,4.203e-05,,5255552,917,40,28,57,87,-0.2641469768259236,0.2230078309403668,0.00798208957442739,0.16937033217692576,0.3101672488131438,0.6496399321915561,-0.11665702374856612
7,beaches_00115_LD.png,1400,1.333,17.053,0.1943,9.862,80.189,0.0,247.355,247.355,247.355,97.002,-0.002381,0.004514,0.0,0.0,0.97,43.485,43.485,43.485,17.053,0.0004186,0.0007935,-0.0,0.0,0.1705,0.1154,18.012,0.07,-0.05667,18.519,0.4447,0.4221,0.3774,-1.123,-0.4837,-0.4607,0.005003,1.412,2.436,0.6393,0.8471,0.001192,97.467,3.764,4.298,0.0005965,2.873e-05,,5447371,972,24,48,26,125,-0.9455642985352881,-0.43072729929545756,0.018661339967188998,0.25621905072855555,0.40915538487591446,-0.28399316854499324,-0.2581788243273828
8,forests_00359_LD.png,1400,1.333,16.666,0.1873,9.949,74.685,0.0,247.709,247.709,247.709,97.141,-0.002385,0.00452,0.0,0.0,0.9714,42.497,42.497,42.497,16.666,0.0004091,0.0007755,-0.0,0.0,0.1667,0.1056,28.361,-0.00625,-0.1417,13.891,0.5497,0.324,0.3372,-1.128,-0.48,-0.4658,0.006407,1.469,2.452,0.6022,0.8648,0.001027,94.378,4.031,4.379,0.0006356,2.181e-05,,5334214,963,19,55,10,133,-1.4763120533416432,-0.6533766109715354,0.017452508881754418,0.3670839356251803,0.5052779541199095,-0.8460487078147472,-0.1342455116225087
9,mountains_00360_LD.png,1400,1.333,16.268,0.1802,9.509,81.269,0.0,248.062,248.062,248.062,97.279,-0.002388,0.004527,0.0,0.0,0.9728,41.484,41.484,41.484,16.268,0.0003994,0.000757,-0.0,0.0,0.1627,0.08512,4.773,0.005,-0.02333,9.65,0.4604,0.4704,0.4402,-1.118,-0.4827,-0.4756,0.0061,1.364,2.275,0.7345,0.8167,0.000993,99.38,4.198,4.482,0.0003404,2.787e-05,,5050185,951,25,37,27,115,-0.8773773893133454,-0.2450062230373207,0.01731454570980914,0.28350222468388114,0.42668152532809756,-0.12123297958513413,-0.14570263286682017
