,stim,Image size (pixels),Aspect ratio,RMS contrast,Lightness entropy,Complexity,Edge density,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Color entropy,Mirror symmetry,Balance,DCM distance,DCM x position,DCM y position,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Fourier slope,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Homogeneity,Anisotropy,1st-order EOE,2nd-order EOE,Sparseness,Variability,gray_scale,upscaled,external_color_profile_found,hits,misses,false_alarms,correct_rejections,FAR,HR,CR,memorability,bias,distinctiveness_early,distinctiveness_mid,distinctiveness_late
0,141_phasescrambled.jpg,512,1.0,16.684,7.566,13.295,100.268,78.057,81.769,62.809,33.574,-3.653,10.153,0.2417,0.444,0.3494,39.389,40.618,44.605,16.684,6.369,17.427,0.1982,0.2606,0.1547,6.783,38.201,9.069,5.688,-0.007812,-0.02734,0.6504,0.6544,0.6256,-3.895,0.4507,1.641,2.674,0.9141,0.8492,96.267,0.0002165,4.455,4.547,0.0001288,5.378e-06,0,1,0,57,21,26,52,0.3333333333333333,0.7307692307692307,0.3974358974358974,0.0748522237190909,0.015039961381965616,0.05254439228906127,0.2966776401019052,0.3381484455258438
1,564_phasescrambled.jpg,512,1.0,12.0,6.96,8.204,71.456,151.404,158.923,104.489,63.62,-10.8091,26.885,0.2079,0.3839,0.6331,36.497,30.558,51.211,12.0,5.36,16.068,0.08247,0.2381,0.1259,6.055,44.102,4.796,3.221,-0.01562,0.003906,0.7196,0.6617,0.6512,-3.953,0.376,1.49,2.652,0.9153,0.8416,95.141,0.0002622,4.294,4.517,0.0001663,5.81e-06,0,1,0,47,31,23,55,0.2948717948717949,0.6025641025641025,0.30769230769230765,-0.02160073408531915,-0.0777645200276218,0.05676490698888708,0.27474969588464254,0.34909988026313776
2,1529_phasescrambled.jpg,512,1.0,16.378,6.832,9.802,81.097,199.558,202.732,189.718,80.7,-3.362,6.352,0.2334,0.1008,0.8055,44.823,44.373,52.467,16.378,4.057,6.79,0.1777,0.08306,0.1728,6.717,18.418,18.488,15.349,-0.01953,0.07422,0.6799,0.5968,0.5826,-3.577,0.5213,1.424,2.71,0.7594,0.888,92.367,0.0002397,4.221,4.489,0.0002365,4.77e-06,0,1,0,43,35,24,54,0.3076923076923077,0.5512820512820513,0.2435897435897436,-0.07307282610159521,-0.08979938920613295,0.08462518306460362,0.2725594012159965,0.43107540048294235
3,203_phasescrambled.jpg,512,1.0,27.674,7.911,11.265,99.663,116.055,107.329,114.68,44.956,5.017,-2.628,0.8578,0.2229,0.4801,70.772,67.313,72.208,27.674,4.766,8.093,0.1965,0.1986,0.2781,7.12,33.122,12.74,10.156,0.0,-0.05078,0.6777,0.6492,0.6275,-3.986,0.4533,1.286,2.621,0.868,0.8532,93.061,0.000324,4.018,4.396,0.0001647,5.557e-06,0,1,0,54,24,23,55,0.2948717948717949,0.6923076923076923,0.3974358974358974,0.05822129486798394,-0.03674799172690146,0.048477676475119504,0.3138307683980224,0.40276960771947645
4,326_phasescrambled.jpg,512,1.0,21.965,7.703,15.527,108.489,143.616,140.208,90.544,57.007,-4.507,24.824,0.1659,0.4432,0.594,61.606,58.303,49.511,21.965,7.553,26.731,0.1775,0.2555,0.2203,6.347,41.304,6.395,2.344,0.0,0.01172,0.6994,0.6184,0.628,-3.426,0.6163,1.509,2.676,0.8824,0.8425,95.979,0.0002781,3.701,4.186,0.0001266,6.145e-06,0,1,0,54,24,20,58,0.2564102564102564,0.6923076923076923,0.4358974358974359,0.07579980699686412,-0.07095743270688859,0.05942659637684176,0.2825721922402984,0.34386144819796244
5,1519_phasescrambled.jpg,512,1.0,22.909,7.82,13.42,121.973,138.455,137.079,126.911,56.067,-1.294,5.812,0.1581,0.1536,0.5526,58.269,57.973,60.641,22.909,3.092,5.786,0.1466,0.1637,0.2265,6.367,26.626,7.488,5.002,0.01562,0.01953,0.6805,0.6613,0.6639,-4.159,0.4295,1.411,2.609,0.8852,0.8813,98.803,0.0002879,3.998,4.372,0.000174,4.128e-06,0,1,0,50,28,33,45,0.4230769230769231,0.6410256410256411,0.217948717948718,-0.04598633353493242,0.05384546203454843,0.036767629693878257,0.22656224537542108,0.35980203928554644
6,1833_phasescrambled.jpg,512,1.0,25.537,7.921,13.777,126.53,119.444,111.631,86.505,46.21,0.2526,14.544,0.1262,0.4306,0.4981,67.889,64.214,57.843,25.537,7.677,18.748,0.1881,0.2412,0.25,6.955,31.0,8.488,4.752,0.02344,0.003906,0.6525,0.6068,0.5973,-4.381,0.3352,1.343,2.591,0.883,0.8534,96.919,0.0004206,3.507,3.996,0.0001525,7.485e-06,0,1,0,58,20,37,41,0.47435897435897434,0.7435897435897436,0.2692307692307693,0.021800826239859517,0.14633408235154477,0.04258104889559315,0.2370298520487717,0.4760058346902445
7,1850_phasescrambled.jpg,512,1.0,26.082,7.905,9.335,87.337,113.58,136.314,136.882,54.021,-7.269,-2.201,0.4616,0.304,0.5723,56.598,67.733,82.916,26.082,4.159,13.656,0.159,0.1717,0.2912,6.565,41.601,10.47,8.735,0.007812,-0.04297,0.7344,0.6344,0.6241,-4.209,0.3444,1.13,2.566,0.8373,0.854,86.48,0.0004764,3.222,3.716,0.0002036,6.878e-06,0,1,0,59,19,45,33,0.5769230769230769,0.7564102564102564,0.17948717948717952,-0.013672059110491797,0.2434187623411369,0.040525040070532085,0.2292820761048515,0.36740827009839966
8,656_phasescrambled.jpg,512,1.0,23.093,7.769,14.635,124.38,91.681,93.359,89.837,38.318,-1.282,1.915,0.2545,0.1794,0.3801,56.519,56.475,59.563,23.093,3.261,6.376,0.2573,0.1878,0.2248,6.533,45.009,9.436,8.839,0.03125,0.03125,0.708,0.694,0.682,-4.135,0.4045,1.505,2.643,0.9049,0.8941,92.648,0.0002933,3.941,4.338,0.0001692,3.194e-06,0,1,0,51,27,32,46,0.41025641025641024,0.6538461538461539,0.2435897435897436,-0.028723682498643432,0.04830181908417952,0.04755708673382139,0.22813119380937238,0.35980203928554644
9,1378_phasescrambled.jpg,512,1.0,17.726,7.53,13.226,116.254,127.69,113.67,112.399,48.828,6.704,2.743,0.9393,0.3081,0.5412,46.622,44.904,50.424,17.726,6.321,19.191,0.237,0.2204,0.1729,7.029,26.034,5.39,3.906,0.01562,-0.01172,0.6915,0.6478,0.6417,-4.071,0.4277,1.495,2.621,0.9139,0.8392,98.108,0.0002885,3.931,4.342,0.0001557,5.76e-06,0,1,0,48,30,37,41,0.47435897435897434,0.6153846153846154,0.14102564102564108,-0.09223064369343065,0.08773904192194437,0.036767629693878257,0.22656224537542108,0.27622355639811946
10,449_phasescrambled.jpg,512,1.0,25.315,7.927,24.069,172.042,113.907,132.579,140.04,53.28,-3.657,-5.798,0.5432,0.3191,0.5799,60.845,65.551,69.353,25.315,7.016,11.797,0.1795,0.2115,0.2615,5.89,24.672,7.126,4.752,0.003906,0.02344,0.7395,0.6807,0.6785,-3.431,0.6087,1.69,2.788,0.9036,0.8877,95.756,0.0002224,3.799,4.222,0.0001393,4.048e-06,0,1,0,51,27,28,50,0.358974358974359,0.6538461538461539,0.2948717948717949,-0.005285666326803273,0.002689231110863388,0.10430010609724234,0.39515535262488344,0.40862667615139364
11,1985_phasescrambled.jpg,512,1.0,19.263,7.63,15.818,127.408,112.649,111.728,97.776,46.179,-1.921,7.843,0.1498,0.2363,0.4584,48.497,47.627,49.079,19.263,5.409,11.54,0.1709,0.1885,0.1874,6.278,26.458,8.206,13.003,-0.03516,-0.05469,0.722,0.6913,0.6801,-3.942,0.4727,1.628,2.694,0.9133,0.8889,95.865,0.0002699,3.868,4.292,0.0001525,3.289e-06,0,1,0,57,21,34,44,0.4358974358974359,0.7307692307692307,0.2948717948717948,0.027976191375410575,0.10626513732859766,0.05136649172309498,0.2760774924506056,0.4005041426910977
12,77_phasescrambled.jpg,512,1.0,25.61,7.892,13.013,109.859,115.36,112.403,108.796,46.543,1.841,2.545,0.0847,0.3233,0.5005,63.999,64.101,67.479,25.61,6.382,16.415,0.285,0.2499,0.2472,6.916,27.873,10.625,9.144,0.01562,-0.04297,0.682,0.6247,0.6164,-3.924,0.4761,1.414,2.614,0.8789,0.8466,94.12,0.0003746,3.428,3.949,0.0001461,7.654e-06,0,1,0,60,18,42,36,0.5384615384615384,0.7692307692307693,0.23076923076923084,0.015309600011717328,0.21506882540411,0.03680952629157804,0.21559064075630938,0.3766853455042209
13,117_phasescrambled.jpg,512,1.0,22.691,7.828,38.273,233.214,119.18,123.257,90.351,49.633,-7.271,17.269,0.1876,0.3261,0.4844,56.846,57.132,51.066,22.691,3.152,7.007,0.03485,0.2008,0.2238,4.431,25.404,6.009,6.629,-0.02344,0.02344,0.7703,0.772,0.7647,-2.898,0.8255,1.943,2.959,0.952,0.9319,98.589,0.0001283,4.449,4.561,0.0001445,1.761e-06,0,1,0,48,30,12,66,0.15384615384615385,0.6153846153846154,0.46153846153846156,0.05425695738057035,-0.19733963291128087,0.14485797645800724,0.29099585862806104,0.4459112186296603
14,258_phasescrambled.jpg,512,1.0,20.349,7.709,14.95,134.834,122.836,117.87,107.046,49.412,2.014,6.665,0.2064,0.3588,0.5411,55.317,51.908,60.343,20.349,8.514,21.438,0.2936,0.2624,0.2055,7.186,31.638,7.33,10.156,0.01953,-0.04688,0.6879,0.5963,0.592,-4.282,0.3781,1.486,2.633,0.9059,0.8289,97.103,0.0003492,3.747,4.191,0.0001592,6.943e-06,0,1,0,47,31,30,48,0.38461538461538464,0.6025641025641025,0.2179487179487179,-0.06261726238603943,0.0020575089256813506,0.04258104889559315,0.2984143463464395,0.34365609877521636
15,1395_phasescrambled.jpg,512,1.0,21.264,7.702,14.154,128.612,158.11,151.582,138.024,62.54,1.93,8.897,0.2264,0.3148,0.6689,47.878,58.226,72.449,21.264,8.046,17.577,0.2823,0.2687,0.1952,6.352,20.609,7.842,3.494,-0.007812,0.01562,0.7356,0.6011,0.5981,-4.01,0.4859,1.467,2.68,0.8929,0.8405,92.736,0.0003531,3.252,3.797,0.0001554,6.634e-06,0,1,0,61,17,37,41,0.47435897435897434,0.782051282051282,0.3076923076923077,0.05601026721984653,0.16391259448042494,0.05067633876634742,0.33903119591077613,0.40027830121256475
16,865_phasescrambled.jpg,512,1.0,11.719,7.253,12.351,77.629,67.899,103.755,113.366,41.784,-7.312,-8.599,0.4691,0.5139,0.4939,28.988,28.703,51.371,11.719,5.214,22.294,0.1637,0.1867,0.1569,6.057,21.696,3.384,3.906,0.0,-0.01953,0.777,0.6301,0.6427,-3.165,0.648,1.837,2.762,0.9235,0.8834,96.347,0.0002511,4.161,4.452,0.0001897,5.017e-06,0,1,0,48,30,25,53,0.32051282051282054,0.6153846153846154,0.2948717948717949,-0.02191659517791017,-0.04909872199800369,0.07013946192862816,0.483933972060952,0.49108716682627673
17,998_phasescrambled.jpg,512,1.0,20.361,7.697,12.565,107.826,124.602,117.132,110.79,49.193,2.524,4.499,0.05955,0.2713,0.5258,59.379,49.646,46.231,20.361,4.718,12.32,0.2602,0.1902,0.208,5.974,31.325,7.763,8.594,-0.04297,0.0,0.6884,0.7226,0.6838,-4.075,0.3938,1.502,2.636,0.9124,0.8763,95.5,0.0001925,4.559,4.555,0.0001758,4.823e-06,0,1,0,58,20,23,55,0.2948717948717949,0.7435897435897436,0.44871794871794873,0.10383388284130002,-0.013309975555061304,0.0305345178624319,0.26689293049859475,0.4055479494499952
18,2048_phasescrambled.jpg,512,1.0,14.082,7.344,11.493,94.67,119.676,102.091,103.04,44.499,7.159,2.079,0.9848,0.1607,0.4695,37.871,33.518,34.192,14.082,2.261,2.412,0.04724,0.05453,0.1483,4.828,28.741,3.638,3.906,-0.01172,-0.01562,0.7299,0.7285,0.7151,-3.964,0.4163,1.544,2.636,0.9231,0.91,97.007,0.0002923,3.836,4.262,0.0001686,2.3e-06,0,1,0,42,36,21,57,0.2692307692307692,0.5384615384615384,0.2692307692307692,-0.06689746096604415,-0.12986833422908006,0.05504135305660145,0.3164999566434676,0.4711918806560129
